,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE,VOLUME,inputClose,Averageclose,Averagevolume
2013-01-04,144.3576,210401590000.0,144.3576,,,2524.409,9798818200.0,2524.409,,,3258.251,4617085400.0,3258.251,,,2643.827,14415903600.0,2643.827,,,1870.5,3920564900.0,1870.5,,,705.342,1014482876.0,705.342,,,903.88,44058.54,903.88,,,2315.36,27413.22,2315.36,,,1502.97,20627.9,1502.97,,,894.07,3309.86,894.07,,,1537.5363,635.82,1537.5363,,
2013-01-07,144.4481,237094670000.0,144.4481,,,2535.985,7516799300.0,2535.985,,,3288.369,4273112200.0,3288.369,,,2658.721,11789911500.0,2658.721,,,1880.262,2852949900.0,1880.262,,,718.114,1082847297.0,718.114,,,907.87,64770.2,907.87,,,2307.96,33101.88,2307.96,,,1499.72,30754.12,1499.72,,,908.87,3435.44,908.87,,,1545.2962,452.14,1545.2962,,
2013-01-08,144.5397,223213770000.0,144.5397,,,2525.33,7183710000.0,2525.33,,,3327.04,5196382700.0,3327.04,,,2657.137,12380092700.0,2657.137,,,1857.688,2534855200.0,1857.688,,,733.138,1355681735.0,733.138,,,909.51,56182.46,909.51,,,2306.19,29414.04,2306.19,,,1499.44,31526.98,1499.44,,,904.75,2355.24,904.75,,,1536.1213,325.46,1536.1213,,
2013-01-09,144.6054,240800390000.0,144.6054,,,2526.126,7023117000.0,2526.126,,,3334.987,5092739600.0,3334.987,,,2659.233,12115856600.0,2659.233,,,1855.342,2510211300.0,1855.342,,,734.506,1317545526.0,734.506,,,905.26,49194.6,905.26,,,2305.17,24697.76,2305.17,,,1489.87,28386.86,1489.87,,,912.65,2215.84,912.65,,,1548.8566,378.42,1548.8566,,
2013-01-10,144.628,3072760000.0,144.628,144.51576,182916636000.0,2530.569,7108586200.0,2530.569,2528.4838,7726206140.0,3356.35,4790195800.0,3356.35,3312.9993999999997,4793903140.0,2666.74,11898782000.0,2666.74,2657.1316,12520109280.0,1855.487,2512934500.0,1855.487,1863.8557999999998,2866303160.0,741.18,1154167729.0,741.18,726.4559999999999,1184945032.6,905.05,44306.9,905.05,906.3140000000001,51702.53999999999,2317.58,33258.12,2317.58,2310.452,29577.003999999997,1491.88,20553.84,1491.88,1496.776,26369.940000000002,911.54,1775.36,911.54,906.376,2618.3480000000004,1545.9352,296.62,1545.9352,1542.74912,417.692
2013-01-11,144.5947,237693670000.0,144.5947,144.56318000000002,188375052000.0,2483.23,7423917600.0,2483.23,2520.248,7251226020.0,3271.179,5130053400.0,3271.179,3315.585,4896496740.0,2612.769,12553971000.0,2612.769,2650.9200000000005,12147722760.0,1818.984,2643782300.0,1818.984,1853.5525999999998,2610946640.0,731.587,1387646506.0,731.587,731.705,1259577758.6,900.8,46634.38,900.8,905.6980000000001,52217.70799999999,2297.8,36809.62,2297.8,2306.94,31456.283999999996,1465.56,28196.94,1465.56,1489.294,27883.748000000003,918.27,2506.44,918.27,911.216,2457.664,1558.3053,365.44,1558.3053,1546.90292,363.616
2013-01-14,144.6339,2021910000.0,144.6339,144.60034000000002,141360500000.0,2577.725,9355409100.0,2577.725,2528.596,7618947980.0,3384.745,5675323000.0,3384.745,3334.8602,5176938900.0,2710.202,15030732100.0,2710.202,2661.2162000000008,12795886880.0,1893.1,3586175400.0,1893.1,1856.1201999999998,2757591740.0,760.55,1460532003.0,760.55,740.1922,1335114699.8,904.99,47902.26,904.99,905.1220000000001,48844.11999999998,2309.2,43290.46,2309.2,2307.1880000000006,33493.99999999999,1485.83,30892.54,1485.83,1486.5159999999998,27911.432000000008,917.72,2062.82,917.72,912.9860000000001,2183.1400000000003,1553.5581,288.42,1553.5581,1548.5553000000002,330.872
2013-01-15,144.6492,1852940000.0,144.6492,144.62224,97088334000.0,2595.856,9862080500.0,2595.856,2542.7012,8154622080.0,3450.682,6936897000.0,3450.682,3359.5886,5525041760.0,2736.956,16798977500.0,2736.956,2677.1800000000007,13679663840.0,1900.051,3265932800.0,1900.051,1864.5927999999997,2903807260.0,778.603,1736690835.0000002,778.603,749.2851999999999,1411316519.8,905.17,42579.34,905.17,904.2540000000001,46123.49599999999,2282.54,30204.22,2282.54,2302.4580000000005,33652.03599999999,1471.06,36032.72,1471.06,1480.8399999999997,28812.580000000005,923.39,3164.58,923.39,916.7140000000002,2345.0080000000003,1556.0686,476.1,1556.0686,1552.5447600000002,361.0
2013-01-16,144.6429,2133620000.0,144.6429,144.62974000000003,49354980000.0,2577.092,9353608400.0,2577.092,2552.8944,8620720360.0,3450.56,6290848200.0,3450.56,3382.7032,5764663480.0,2721.703,15644456600.0,2721.703,2689.6740000000004,14385383840.0,1877.0,3164398900.0,1877.0,1868.9243999999994,3034644780.0,774.485,1367364877.0,774.485,757.2809999999998,1421280390.0,908.99,40500.96,908.99,905.0,44384.76799999999,2283.19,31487.28,2283.19,2298.062000000001,35009.93999999999,1466.77,30642.6,1466.77,1476.2199999999998,29263.728000000003,930.74,2198.12,930.74,920.3320000000001,2341.464,1567.9365,391.88,1567.9365,1556.3607400000003,363.692
2013-01-17,144.6906,2524430000.0,144.6906,144.64226000000002,49245314000.0,2552.758,6991523900.0,2552.758,2557.3322,8597307900.0,3408.022,4741554100.0,3408.022,3393.0376000000006,5754935140.0,2694.186,11733078000.0,2694.186,2695.1632000000004,14352243040.0,1854.936,2330184500.0,1854.936,1868.8141999999993,2998094780.0,768.308,1059885452.9999999,768.308,762.7066,1402423934.8,905.66,42507.36,905.66,905.122,44024.85999999999,2282.42,28222.2,2282.42,2291.0300000000007,34002.755999999994,1475.4,23266.88,1475.4,1472.924,29806.336000000003,928.03,1868.38,928.03,923.6300000000001,2360.068,1563.3262,342.44,1563.3262,1559.8389400000003,372.85600000000005
2013-01-18,144.8218,2569730000.0,144.8218,144.68768000000003,2220526000.0,2595.439,7794030300.0,2595.439,2579.7740000000003,8671330440.0,3464.645,5111861100.0,3464.645,3431.7308000000003,5751296680.0,2739.166,12905891300.0,2739.166,2720.4426000000008,14422627100.0,1886.794,2562917000.0,1886.794,1882.3761999999992,2981921720.0,787.386,1086070215.0,787.386,773.8664,1342108676.6,908.88,45318.66,908.88,906.7379999999999,43761.71599999999,2304.38,27517.22,2304.38,2292.3460000000005,32144.275999999994,1500.06,31478.8,1500.06,1479.824,30462.708000000002,936.53,2150.04,936.53,927.2819999999999,2288.788,1571.4969,290.2,1571.4969,1562.4772600000003,357.808
2013-01-21,144.8832,2162710000.0,144.8832,144.73754000000002,2248686000.0,2610.898,8413374200.0,2610.898,2586.4085999999998,8482923460.0,3491.122,5378953200.0,3491.122,3453.0062000000007,5692022720.0,2756.547,13792327400.0,2756.547,2729.711600000001,14174946160.0,1898.438,3142856200.0,1898.438,1883.443799999999,2893257880.0,792.6,1044662261.9999999,792.6,780.2764,1258934728.4,905.81,41865.52,905.81,906.902,42554.36799999999,2293.83,26299.56,2293.83,2289.272000000001,28746.095999999998,1493.29,21737.82,1493.29,1481.316,28631.764000000003,935.35,1772.44,935.35,930.808,2230.7120000000004,1570.4927,215.16,1570.4927,1565.8641800000005,343.156
2013-01-22,144.9708,2217000000.0,144.9708,144.80185999999998,2321498000.0,2596.898,10576627500.0,2596.898,2586.6169999999997,8625832860.0,3435.434,5347412200.0,3435.434,3449.9566000000004,5374125760.0,2735.016,15924039800.0,2735.016,2729.3236000000006,13999958620.0,1898.502,4129089000.0,1898.502,1883.1339999999993,3065889120.0,775.135,1133176441.0,775.135,779.5827999999999,1138231849.6,908.1,43249.94,908.1,907.488,42688.48799999999,2307.37,27578.08,2307.37,2294.2380000000003,28220.868,1498.94,28591.74,1498.94,1486.8920000000003,27143.568,940.4,1783.14,940.4,934.2099999999998,1954.4240000000002,1577.0657,289.46,1577.0657,1570.0636000000002,305.828
2013-01-23,145.0169,215508190000.0,145.0169,144.87666,44996412000.0,2607.456,7573944400.0,2607.456,2592.6897999999997,8269900060.0,3441.745,4335737300.0,3441.745,3448.1936,4983103580.0,2744.738,11909681700.0,2744.738,2733.9306000000006,13253003640.0,1910.135,2870868000.0,1910.135,1889.7609999999993,3007182940.0,778.478,917122760.0,778.478,780.3814,1048183426.2,908.27,35672.36,908.27,907.3440000000003,41722.76799999999,2317.92,30036.42,2317.92,2301.184,27930.696000000004,1501.62,19858.14,1501.62,1493.8620000000003,24986.675999999996,938.92,1159.16,938.92,935.8459999999999,1746.632,1573.9161,204.74,1573.9161,1571.2595200000003,268.4
2013-01-24,145.0237,1396630000.0,145.0237,144.94328,44770852000.0,2582.755,11127717200.0,2582.755,2598.6892,9097138720.0,3369.732,5717497000.0,3369.732,3440.5356,5178292160.0,2711.539,16845214200.0,2711.539,2737.401200000001,14275430880.0,1900.176,4636251700.0,1900.176,1898.8089999999993,3468396380.0,757.869,1115914671.0,757.869,778.2936,1059389269.8,903.16,43918.8,903.16,906.8440000000003,42005.056,2309.39,41096.26,2309.39,2306.5780000000004,30505.508,1490.84,31649.18,1490.84,1496.9500000000003,26663.13599999999,928.72,2024.6,928.72,935.984,1777.8760000000002,1559.8572,384.04,1559.8572,1570.5657200000005,276.71999999999997
2013-01-25,145.0685,2254810000.0,145.0685,144.99262,44707868000.0,2571.674,5848735900.0,2571.674,2593.9361999999996,8708079840.0,3364.061,3709918600.0,3364.061,3420.4188000000004,4897903660.0,2701.51,9558654500.0,2701.51,2729.8700000000003,13605983520.0,1886.454,2180922400.0,1886.454,1898.7409999999993,3391997460.0,762.848,725800320.0,762.848,773.386,987335290.8,904.24,31883.02,904.24,905.9160000000002,39317.92799999999,2324.85,39544.4,2324.85,2310.672,32910.944,1494.64,22402.64,1494.64,1495.8660000000004,24847.903999999988,924.48,1537.18,924.48,933.574,1655.304,1552.4169,284.1,1552.4169,1566.7497200000005,275.49999999999994
2013-01-28,145.112,10785060000.0,145.112,145.03838,46432338000.0,2651.863,9127479000.0,2651.863,2602.1291999999994,8850900800.0,3449.794,4542212100.0,3449.794,3412.1531999999997,4730555440.0,2782.248,13669691100.0,2782.248,2735.0102,13581456260.0,1957.395,4001193900.0,1957.395,1910.5323999999994,3563665000.0,784.76,832896001.0,784.76,771.818,944982038.6,903.8,36433.66,903.8,905.5140000000004,38231.556,2317.15,22078.66,2317.15,2315.3360000000002,32066.764000000003,1501.23,19647.58,1501.23,1497.4540000000002,24429.85599999999,917.17,1360.76,917.17,929.9379999999999,1572.968,1544.9766,281.64,1544.9766,1561.6465000000005,288.79599999999994
